timestamp,protocol,scheme,kem,signature,client_ip,server_ip,cond_profile,latency_ms,handshake_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
2025-10-24T08:45:09-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.261,5.81,NA,NA,NA,0
2025-10-24T08:45:10-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.515,5.50,NA,NA,NA,0
2025-10-24T08:45:11-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.806,5.10,NA,NA,NA,0
2025-10-24T08:45:12-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.233,5.69,NA,NA,NA,0
2025-10-24T08:45:13-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.422,4.56,NA,NA,NA,0
2025-10-24T08:45:14-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.877,5.76,NA,NA,NA,0
2025-10-24T08:45:15-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.358,6.37,NA,NA,NA,0
2025-10-24T08:45:16-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.956,5.80,NA,NA,NA,0
2025-10-24T08:45:17-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.580,5.71,NA,NA,NA,0
2025-10-24T08:45:18-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.805,4.80,NA,NA,NA,0
2025-10-24T08:45:19-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.705,5.26,NA,NA,NA,0
2025-10-24T08:45:26-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.913,6.29,163.46,16.81,2.94,0
2025-10-24T08:45:27-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.341,6.63,NA,NA,NA,0
2025-10-24T08:45:28-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.923,5.41,NA,NA,NA,0
2025-10-24T08:45:29-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.746,17.7,NA,NA,NA,0
2025-10-24T08:45:30-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.229,17.2,NA,NA,NA,0
2025-10-24T08:45:31-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.970,5.13,NA,NA,NA,0
2025-10-24T08:45:32-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.599,5.28,NA,NA,NA,0
2025-10-24T08:45:34-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.969,6.28,NA,NA,NA,0
2025-10-24T08:45:35-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.578,16.5,NA,NA,NA,0
2025-10-24T08:45:36-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.852,5.28,NA,NA,NA,0
2025-10-24T08:45:37-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.430,4.84,NA,NA,NA,0
2025-10-24T08:45:38-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.198,4.60,NA,NA,NA,0
2025-10-24T08:45:39-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.401,5.01,NA,NA,NA,0
2025-10-24T08:45:40-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.994,17.0,NA,NA,NA,0
2025-10-24T08:45:41-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.024,5.43,NA,NA,NA,0
2025-10-24T08:45:42-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.770,4.19,NA,NA,NA,0
2025-10-24T08:45:43-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.805,4.69,NA,NA,NA,0
2025-10-24T08:45:44-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.848,7.21,NA,NA,NA,0
2025-10-24T08:45:45-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.796,4.66,NA,NA,NA,0
2025-10-24T08:45:46-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.505,4.88,NA,NA,NA,0
2025-10-24T08:45:47-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.485,4.51,NA,NA,NA,0
2025-10-24T08:45:49-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.999,5.19,NA,NA,NA,0
2025-10-24T08:45:50-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.319,5.37,NA,NA,NA,0
2025-10-24T08:45:51-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.275,5.48,NA,NA,NA,0
2025-10-24T08:45:52-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.197,5.43,NA,NA,NA,0
2025-10-24T08:45:53-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.975,5.62,NA,NA,NA,0
2025-10-24T08:45:54-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.950,5.34,NA,NA,NA,0
2025-10-24T08:45:55-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.220,5.85,NA,NA,NA,0
2025-10-24T08:45:56-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.010,4.81,NA,NA,NA,0
2025-10-24T08:45:57-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.815,17.1,NA,NA,NA,0
2025-10-24T08:45:58-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.152,5.72,NA,NA,NA,0
2025-10-24T08:45:59-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.095,6.01,NA,NA,NA,0
2025-10-24T08:46:00-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.987,4.87,NA,NA,NA,0
2025-10-24T08:46:01-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.637,5.76,NA,NA,NA,0
2025-10-24T08:46:02-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.459,5.46,NA,NA,NA,0
2025-10-24T08:46:03-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.750,6.08,NA,NA,NA,0
2025-10-24T08:46:05-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,7.316,5.33,NA,NA,NA,0
2025-10-24T08:46:06-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.076,6.10,NA,NA,NA,0
2025-10-24T08:46:07-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.849,6.85,NA,NA,NA,0
2025-10-24T08:46:08-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.506,4.25,NA,NA,NA,0
2025-10-24T08:46:09-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.236,4.08,NA,NA,NA,0
2025-10-24T08:46:10-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.933,4.77,NA,NA,NA,0
2025-10-24T08:46:11-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.104,16.7,NA,NA,NA,0
2025-10-24T08:46:12-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.911,17.8,NA,NA,NA,0
2025-10-24T08:46:13-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.733,4.33,NA,NA,NA,0
2025-10-24T08:46:14-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.743,5.05,NA,NA,NA,0
2025-10-24T08:46:15-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.104,5.88,NA,NA,NA,0
2025-10-24T08:46:16-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.887,4.33,NA,NA,NA,0
2025-10-24T08:46:17-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.411,5.79,NA,NA,NA,0
2025-10-24T08:46:19-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.875,16.6,NA,NA,NA,0
2025-10-24T08:46:25-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.540,17.2,167.29,14.80,3.14,0
2025-10-24T08:46:26-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.845,19.6,NA,NA,NA,0
2025-10-24T08:46:27-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.235,5.36,NA,NA,NA,0
2025-10-24T08:46:28-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.985,5.09,NA,NA,NA,0
2025-10-24T08:46:30-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.212,6.18,NA,NA,NA,0
2025-10-24T08:46:31-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.248,5.26,NA,NA,NA,0
2025-10-24T08:46:32-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.003,5.13,NA,NA,NA,0
2025-10-24T08:46:33-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.166,4.94,NA,NA,NA,0
2025-10-24T08:46:34-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.713,5.06,NA,NA,NA,0
2025-10-24T08:46:35-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.260,5.60,NA,NA,NA,0
2025-10-24T08:46:36-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.369,4.90,NA,NA,NA,0
2025-10-24T08:46:37-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.222,5.91,NA,NA,NA,0
2025-10-24T08:46:38-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.191,5.15,NA,NA,NA,0
2025-10-24T08:46:39-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.439,5.09,NA,NA,NA,0
