timestamp,algorithm,class,operation,time_ms,ops_per_sec,notes
2025-11-09T18:51:20+00:00,Ed25519,sig,verify,0.1077,9282.50,classical
2025-11-09T18:51:26+00:00,Ed25519,sig,sign,0.0396,25274.20,classical
2025-11-09T18:51:26+00:00,Ed25519,sig,verify,0.1060,9437.80,classical
2025-11-09T18:51:32+00:00,Ed25519,sig,sign,0.0412,24257.20,classical
2025-11-09T18:51:32+00:00,Ed25519,sig,verify,0.1100,9092.30,classical
2025-11-09T18:51:38+00:00,Ed25519,sig,sign,0.0394,25397.00,classical
2025-11-09T18:51:38+00:00,Ed25519,sig,verify,0.1084,9228.60,classical
2025-11-09T18:51:44+00:00,Ed25519,sig,sign,0.0402,24897.60,classical
2025-11-09T18:51:44+00:00,Ed25519,sig,verify,0.1126,8880.50,classical
2025-11-09T18:51:50+00:00,Ed25519,sig,sign,0.0403,24838.20,classical
2025-11-09T18:51:50+00:00,Ed25519,sig,verify,0.1096,9127.50,classical
2025-11-09T18:51:56+00:00,Ed25519,sig,sign,0.0403,24800.00,classical
2025-11-09T18:51:56+00:00,Ed25519,sig,verify,0.1063,9403.40,classical
2025-11-09T18:52:02+00:00,Ed25519,sig,sign,0.0401,24923.20,classical
2025-11-09T18:52:02+00:00,Ed25519,sig,verify,0.1085,9216.20,classical
2025-11-09T18:52:08+00:00,Ed25519,sig,sign,0.0399,25062.00,classical
2025-11-09T18:52:08+00:00,Ed25519,sig,verify,0.1121,8922.30,classical
2025-11-09T18:52:14+00:00,Ed25519,sig,sign,0.0399,25047.80,classical
2025-11-09T18:52:14+00:00,Ed25519,sig,verify,0.1087,9200.70,classical
2025-11-09T18:52:20+00:00,Ed25519,sig,sign,0.0401,24953.00,classical
2025-11-09T18:52:20+00:00,Ed25519,sig,verify,0.1093,9149.80,classical
2025-11-09T18:52:26+00:00,ECDSA-P256,sig,sign,0.0282,35414.10,classical
2025-11-09T18:52:26+00:00,ECDSA-P256,sig,verify,0.0620,16117.20,classical
2025-11-09T18:52:32+00:00,ECDSA-P256,sig,sign,0.0283,35324.30,classical
2025-11-09T18:52:32+00:00,ECDSA-P256,sig,verify,0.0624,16016.20,classical
2025-11-09T18:52:39+00:00,ECDSA-P256,sig,sign,0.0273,36636.80,classical
2025-11-09T18:52:39+00:00,ECDSA-P256,sig,verify,0.0611,16353.50,classical
2025-11-09T18:52:45+00:00,ECDSA-P256,sig,sign,0.0276,36194.90,classical
2025-11-09T18:52:45+00:00,ECDSA-P256,sig,verify,0.0660,15141.20,classical
2025-11-09T18:52:51+00:00,ECDSA-P256,sig,sign,0.0276,36185.30,classical
2025-11-09T18:52:51+00:00,ECDSA-P256,sig,verify,0.0615,16264.80,classical
2025-11-09T18:52:57+00:00,ECDSA-P256,sig,sign,0.0276,36290.40,classical
2025-11-09T18:52:57+00:00,ECDSA-P256,sig,verify,0.0616,16232.80,classical
2025-11-09T18:53:03+00:00,ECDSA-P256,sig,sign,0.0281,35566.70,classical
2025-11-09T18:53:03+00:00,ECDSA-P256,sig,verify,0.0618,16187.50,classical
2025-11-09T18:53:09+00:00,ECDSA-P256,sig,sign,0.0284,35239.70,classical
2025-11-09T18:53:09+00:00,ECDSA-P256,sig,verify,0.0612,16340.30,classical
2025-11-09T18:53:15+00:00,ECDSA-P256,sig,sign,0.0276,36170.50,classical
2025-11-09T18:53:15+00:00,ECDSA-P256,sig,verify,0.0627,15957.00,classical
2025-11-09T18:53:21+00:00,ECDSA-P256,sig,sign,0.0280,35725.00,classical
2025-11-09T18:53:21+00:00,ECDSA-P256,sig,verify,0.0625,15994.30,classical
2025-11-09T18:53:27+00:00,ECDSA-P256,sig,sign,0.0280,35691.80,classical
2025-11-09T18:53:27+00:00,ECDSA-P256,sig,verify,0.0615,16261.60,classical
2025-11-09T18:53:33+00:00,ECDSA-P256,sig,sign,0.0286,35018.60,classical
2025-11-09T18:53:33+00:00,ECDSA-P256,sig,verify,0.0631,15845.30,classical
2025-11-09T18:53:39+00:00,ECDSA-P256,sig,sign,0.0277,36055.10,classical
2025-11-09T18:53:39+00:00,ECDSA-P256,sig,verify,0.0635,15751.90,classical
2025-11-09T18:53:45+00:00,ECDSA-P256,sig,sign,0.0284,35254.30,classical
2025-11-09T18:53:45+00:00,ECDSA-P256,sig,verify,0.0641,15596.60,classical
2025-11-09T18:53:51+00:00,ECDSA-P256,sig,sign,0.0294,34011.00,classical
2025-11-09T18:53:51+00:00,ECDSA-P256,sig,verify,0.0643,15556.90,classical
2025-11-09T18:53:57+00:00,ECDSA-P256,sig,sign,0.0291,34404.80,classical
2025-11-09T18:53:57+00:00,ECDSA-P256,sig,verify,0.0644,15524.60,classical
2025-11-09T18:54:03+00:00,ECDSA-P256,sig,sign,0.0282,35522.80,classical
2025-11-09T18:54:03+00:00,ECDSA-P256,sig,verify,0.0635,15744.80,classical
2025-11-09T18:54:09+00:00,ECDSA-P256,sig,sign,0.0282,35428.70,classical
2025-11-09T18:54:09+00:00,ECDSA-P256,sig,verify,0.0627,15958.80,classical
2025-11-09T18:54:16+00:00,ECDSA-P256,sig,sign,0.0281,35538.00,classical
2025-11-09T18:54:16+00:00,ECDSA-P256,sig,verify,0.0631,15854.90,classical
2025-11-09T18:54:22+00:00,ECDSA-P256,sig,sign,0.0284,35234.20,classical
2025-11-09T18:54:22+00:00,ECDSA-P256,sig,verify,0.0620,16116.40,classical
2025-11-09T18:54:28+00:00,ECDSA-P256,sig,sign,0.0282,35519.00,classical
2025-11-09T18:54:28+00:00,ECDSA-P256,sig,verify,0.0618,16171.70,classical
2025-11-09T18:54:34+00:00,ECDSA-P256,sig,sign,0.0290,34498.30,classical
2025-11-09T18:54:34+00:00,ECDSA-P256,sig,verify,0.0629,15897.30,classical
2025-11-09T18:54:40+00:00,ECDSA-P256,sig,sign,0.0283,35397.90,classical
2025-11-09T18:54:40+00:00,ECDSA-P256,sig,verify,0.0622,16073.00,classical
2025-11-09T18:54:46+00:00,ECDSA-P256,sig,sign,0.0291,34339.70,classical
2025-11-09T18:54:46+00:00,ECDSA-P256,sig,verify,0.0618,16173.00,classical
2025-11-09T18:54:52+00:00,ECDSA-P256,sig,sign,0.0275,36392.50,classical
2025-11-09T18:54:52+00:00,ECDSA-P256,sig,verify,0.0611,16369.00,classical
2025-11-09T18:54:58+00:00,ECDSA-P256,sig,sign,0.0274,36560.50,classical
2025-11-09T18:54:58+00:00,ECDSA-P256,sig,verify,0.0616,16224.30,classical
2025-11-09T18:55:04+00:00,ECDSA-P256,sig,sign,0.0283,35365.50,classical
2025-11-09T18:55:04+00:00,ECDSA-P256,sig,verify,0.0628,15914.90,classical
2025-11-09T18:55:10+00:00,ECDSA-P256,sig,sign,0.0302,33130.10,classical
2025-11-09T18:55:10+00:00,ECDSA-P256,sig,verify,0.0710,14083.80,classical
2025-11-09T18:55:16+00:00,ECDSA-P256,sig,sign,0.0334,29948.60,classical
2025-11-09T18:55:16+00:00,ECDSA-P256,sig,verify,0.0678,14748.00,classical
2025-11-09T18:55:22+00:00,ECDSA-P256,sig,sign,0.0281,35636.10,classical
2025-11-09T18:55:22+00:00,ECDSA-P256,sig,verify,0.0644,15531.40,classical
2025-11-09T18:55:33+00:00,ML-KEM-768,kem,keygen,0.0368,27117.90,pqc
2025-11-09T18:55:33+00:00,ML-KEM-768,kem,encap,0.0361,27638.05,pqc
2025-11-09T18:55:33+00:00,ML-KEM-768,kem,decap,0.0306,32611.53,pqc
2025-11-09T18:55:43+00:00,ML-KEM-768,kem,keygen,0.0369,27059.93,pqc
2025-11-09T18:55:43+00:00,ML-KEM-768,kem,encap,0.0371,26947.64,pqc
2025-11-09T18:55:43+00:00,ML-KEM-768,kem,decap,0.0299,33374.49,pqc
2025-11-09T18:55:53+00:00,ML-KEM-768,kem,keygen,0.0361,27671.70,pqc
2025-11-09T18:55:53+00:00,ML-KEM-768,kem,encap,0.0351,28430.89,pqc
2025-11-09T18:55:53+00:00,ML-KEM-768,kem,decap,0.0285,35047.13,pqc
2025-11-09T18:56:04+00:00,ML-KEM-768,kem,keygen,0.0362,27558.83,pqc
2025-11-09T18:56:04+00:00,ML-KEM-768,kem,encap,0.0358,27914.24,pqc
2025-11-09T18:56:04+00:00,ML-KEM-768,kem,decap,0.0290,34453.05,pqc
2025-11-09T18:56:14+00:00,ML-KEM-768,kem,keygen,0.0361,27686.25,pqc
2025-11-09T18:56:14+00:00,ML-KEM-768,kem,encap,0.0358,27914.24,pqc
2025-11-09T18:56:14+00:00,ML-KEM-768,kem,decap,0.0288,34630.83,pqc
2025-11-09T18:56:25+00:00,ML-KEM-768,kem,keygen,0.0374,26732.96,pqc
2025-11-09T18:56:25+00:00,ML-KEM-768,kem,encap,0.0360,27723.10,pqc
2025-11-09T18:56:25+00:00,ML-KEM-768,kem,decap,0.0290,34368.98,pqc
2025-11-09T18:56:35+00:00,ML-KEM-768,kem,keygen,0.0374,26695.85,pqc
2025-11-09T18:56:35+00:00,ML-KEM-768,kem,encap,0.0374,26716.53,pqc
2025-11-09T18:56:35+00:00,ML-KEM-768,kem,decap,0.0294,33908.65,pqc
2025-11-09T18:56:45+00:00,ML-KEM-768,kem,keygen,0.0376,26548.43,pqc
2025-11-09T18:56:45+00:00,ML-KEM-768,kem,encap,0.0361,27657.92,pqc
2025-11-09T18:56:45+00:00,ML-KEM-768,kem,decap,0.0288,34620.04,pqc
2025-11-09T18:56:56+00:00,ML-KEM-768,kem,keygen,0.0359,27779.32,pqc
2025-11-09T18:56:56+00:00,ML-KEM-768,kem,encap,0.0353,28318.98,pqc
2025-11-09T18:56:56+00:00,ML-KEM-768,kem,decap,0.0284,35205.06,pqc
2025-11-09T18:57:06+00:00,ML-KEM-768,kem,keygen,0.0358,27899.45,pqc
2025-11-09T18:57:06+00:00,ML-KEM-768,kem,encap,0.0368,27114.96,pqc
2025-11-09T18:57:06+00:00,ML-KEM-768,kem,decap,0.0289,34572.16,pqc
2025-11-09T18:57:17+00:00,ML-KEM-768,kem,keygen,0.0370,26987.63,pqc
2025-11-09T18:57:17+00:00,ML-KEM-768,kem,encap,0.0364,27471.01,pqc
2025-11-09T18:57:17+00:00,ML-KEM-768,kem,decap,0.0292,34245.40,pqc
2025-11-09T18:57:27+00:00,ML-KEM-768,kem,keygen,0.0367,27203.48,pqc
2025-11-09T18:57:27+00:00,ML-KEM-768,kem,encap,0.0365,27372.51,pqc
2025-11-09T18:57:27+00:00,ML-KEM-768,kem,decap,0.0290,34396.17,pqc
2025-11-09T18:57:37+00:00,ML-KEM-768,kem,keygen,0.0365,27365.77,pqc
2025-11-09T18:57:37+00:00,ML-KEM-768,kem,encap,0.0385,25934.28,pqc
2025-11-09T18:57:37+00:00,ML-KEM-768,kem,decap,0.0288,34659.64,pqc
2025-11-09T18:57:48+00:00,ML-KEM-768,kem,keygen,0.0364,27461.21,pqc
2025-11-09T18:57:48+00:00,ML-KEM-768,kem,encap,0.0394,25329.28,pqc
2025-11-09T18:57:48+00:00,ML-KEM-768,kem,decap,0.0312,32005.12,pqc
2025-11-09T18:57:58+00:00,ML-KEM-768,kem,keygen,0.0379,26333.11,pqc
2025-11-09T18:57:58+00:00,ML-KEM-768,kem,encap,0.0370,27006.58,pqc
2025-11-09T18:57:58+00:00,ML-KEM-768,kem,decap,0.0295,33824.92,pqc
2025-11-09T18:58:08+00:00,ML-KEM-768,kem,keygen,0.0370,27021.91,pqc
2025-11-09T18:58:09+00:00,ML-KEM-768,kem,encap,0.0368,27104.67,pqc
2025-11-09T18:58:09+00:00,ML-KEM-768,kem,decap,0.0361,27634.99,pqc
2025-11-09T18:58:19+00:00,ML-KEM-768,kem,keygen,0.0414,24105.67,pqc
2025-11-09T18:58:19+00:00,ML-KEM-768,kem,encap,0.0421,23712.41,pqc
2025-11-09T18:58:19+00:00,ML-KEM-768,kem,decap,0.0309,32351.98,pqc
2025-11-09T18:58:29+00:00,ML-KEM-768,kem,keygen,0.0374,26725.81,pqc
